month,position,artist,song,score,us,uk,de,fr,ca,au
Jan-16,1,Adele,Hello,2568.706,1,3,1,1,1,2
Jan-16,2,Justin Bieber,Sorry,2412.344,1,2,6,4,1,2
Jan-16,3,Justin Bieber,Love Yourself,2219.517,3,1,3,9,3,1
Jan-16,4,Shawn Mendes,Stitches,1876.021,6,1,2,86,10,4
Jan-16,5,Justin Bieber,What Do You Mean?,1669.61,4,3,-,21,3,8
Jan-16,6,Drake,Hotline Bling,1635.34,3,16,-,18,4,18
Jan-16,7,The Weeknd,The Hills,1317.11,6,18,-,14,6,17
Jan-16,8,Selena Gomez,Same Old Love,1202.464,5,99,-,26,6,40
Jan-16,9,Alessia Cara,Here,1196.433,6,28,-,37,19,12
Jan-16,10,The Weeknd,Can't Feel My Face,1075.022,15,19,-,42,8,24
Jan-16,11,Coldplay,Adventure Of A Lifetime,1039.526,39,8,-,2,21,32
Jan-16,12,Ellie Goulding,On My Mind,1033.61,13,33,-,180,13,36
Jan-16,13,Fetty Wap & Remy Boyz,679,1028.72,11,32,-,-,15,43
Jan-16,14,The Weeknd,In The Night,1018.649,12,48,-,127,12,13
Jan-16,15,Twenty One Pilots,Stressed Out,979.645,4,86,-,40,5,-
Jan-16,16,Meghan Trainor & John Legend,Like I'm Gonna Lose You,976.037,9,-,-,-,8,-
Jan-16,17,Major Lazer & DJ Snake,Lean On,965.663,17,38,-,25,9,38
Jan-16,18,Elle King,Ex's & Oh's,918.22,12,15,-,-,23,5
Jan-16,19,One Direction,Perfect,880.652,26,19,-,-,15,15
Jan-16,20,Drake & Future,Jumpman,875.016,12,95,-,-,-,-
Jan-16,21,R City & Adam Levine,Locked Away,869.773,33,28,-,57,15,40
Jan-16,22,Taylor Swift,Wildest Dreams,799.818,18,97,-,183,10,32
Jan-16,23,Travi$ Scott,Antidote,790.785,16,-,-,-,46,-
Jan-16,24,The Chainsmokers & Rozes,Roses,790.18,11,-,-,139,9,37
Jan-16,25,Fetty Wap,Trap Queen,780.74,27,40,-,174,30,-
Jan-16,26,Bryson Tiller,Don't,771.45,13,87,-,-,-,-
Jan-16,27,Ariana Grande,Focus,754.663,24,35,-,142,10,42
Jan-16,28,Post Malone,White Iverson,752.979,14,-,-,-,48,-
Jan-16,29,Silento,Watch Me,721.857,19,-,-,-,22,-
Jan-16,30,Thomas Rhett,Die A Happy Man,711.872,21,-,-,-,35,-
Jan-16,31,Wiz Khalifa & Charlie Puth,See You Again,696.491,30,80,-,89,29,-
Jan-16,32,Demi Lovato,Confident,685.097,23,-,-,-,26,-
Jan-16,33,Skrillex & Diplo,Where Are U Now,681.94,38,35,-,157,20,-
Jan-16,34,G-Eazy & Bebe Rexha,"Me, Myself & I",680.29,19,51,-,62,38,-
Jan-16,35,Shawn Mendes & Camila Cabello,I Know What You Did Last Summer,670.626,20,100,-,-,19,-
Jan-16,36,Rudimental & Ed Sheeran,Lay It All On Me,636.098,58,28,-,-,29,9
Jan-16,37,Tory Lanez,Say It,631.35,26,-,-,-,-,-
Jan-16,38,Charlie Puth,One Call Away,627.062,34,45,-,94,-,11
Jan-16,39,Sam Hunt,Break Up In A Small Town,606.526,29,-,-,-,49,-
Jan-16,40,Justin Bieber,I'll Show You,606.454,51,39,-,-,32,41
Jan-16,41,"Major Lazer, Nyla & Fuse ODG",Light It Up,599.729,-,9,4,14,-,-
Jan-16,42,Daya,Hide Away,595.916,31,-,-,-,37,-
Jan-16,43,DNCE,Cake By The Ocean,594.058,22,-,-,-,15,-
Jan-16,44,Flo-Rida,My House,591.945,23,-,-,-,32,-
Jan-16,45,Matt Simons,Catch & Release (Deepend Remix),575.784,-,-,1,1,-,-
Jan-16,46,J Cole,No Role Modelz,545.797,36,-,-,-,-,-
Jan-16,47,Adele,When We Were Young,544.753,41,-,-,114,43,-
Jan-16,48,Selena Gomez,Hands To Myself,543.522,37,75,-,118,44,30
Jan-16,49,Fetty Wap,Again,527.325,38,-,-,-,-,-
Jan-16,50,Macklemore & Ryan Lewis,Downtown,517.51,70,59,-,-,39,10
Feb-16,1,Justin Bieber,Love Yourself,2242.872,1,2,3,4,1,1
Feb-16,2,Justin Bieber,Sorry,1901.818,1,4,9,13,1,7
Feb-16,3,Adele,Hello,1697.195,2,10,7,6,2,6
Feb-16,4,Shawn Mendes,Stitches,1678.682,6,1,2,86,10,9
Feb-16,5,Twenty One Pilots,Stressed Out,1584.735,2,19,3,3,3,3
Feb-16,6,G-Eazy & Bebe Rexha,"Me, Myself & I",1225.266,8,27,8,22,13,21
Feb-16,7,Justin Bieber,What Do You Mean?,1191.255,10,8,-,43,4,12
Feb-16,8,Alessia Cara,Here,1187.804,5,28,-,37,22,13
Feb-16,9,Rihanna & Drake,Work,1146.527,4,2,6,1,7,10
Feb-16,10,Drake,Hotline Bling,1140.692,7,34,-,34,6,35
Feb-16,11,The Chainsmokers & Rozes,Roses,1125.06,6,59,-,63,6,10
Feb-16,12,Lukas Graham,Seven Years,1057.181,35,1,6,27,27,1
Feb-16,13,Flo-Rida,My House,1042.946,5,85,-,48,9,7
Feb-16,14,Selena Gomez,Same Old Love,1026.135,5,99,-,26,7,-
Feb-16,15,Selena Gomez,Hands To Myself,987.325,7,41,-,118,5,13
Feb-16,16,Zayn,Pillow talk,982.511,1,1,5,4,1,1
Feb-16,17,The Weeknd,In The Night,977.84,13,52,-,124,14,22
Feb-16,18,The Weeknd,The Hills,974.945,14,29,-,24,11,39
Feb-16,19,Charlie Puth,One Call Away,958.931,15,26,-,61,28,3
Feb-16,20,Coldplay,Adventure Of A Lifetime,957.465,13,11,-,11,11,45
Feb-16,21,Elle King,Ex's & Oh's,930.437,25,15,10,119,33,5
Feb-16,22,Bryson Tiller,Don't,830.732,13,71,-,-,-,-
Feb-16,23,Meghan Trainor & John Legend,Like I'm Gonna Lose You,820.251,9,-,-,-,8,-
Feb-16,24,The Weeknd,Can't Feel My Face,795.307,27,34,-,96,11,38
Feb-16,25,DNCE,Cake By The Ocean,794.53,11,86,-,94,7,-
Feb-16,26,Major Lazer & DJ Snake,Lean On,792.047,32,42,-,15,13,28
Feb-16,27,Drake & Future,Jumpman,776.215,12,94,-,-,-,-
Feb-16,28,Fetty Wap & Remy Boyz,679,772.564,18,47,-,-,20,-
Feb-16,29,Adele,When We Were Young,771.943,20,13,-,69,23,35
Feb-16,30,Shawn Mendes & Camila Cabello,I Know What You Did Last Summer,744.443,20,97,-,-,19,39
Feb-16,31,Ellie Goulding,On My Mind,739.993,21,49,-,-,21,-
Feb-16,32,Post Malone,White Iverson,702.852,16,-,-,-,41,-
Feb-16,33,Robin Schulz & Francesco Yates,Sugar,697.905,54,26,-,49,-,28
Feb-16,34,Travi$ Scott,Antidote,675.772,17,-,-,-,38,-
Feb-16,35,One Direction,Perfect,669.529,35,41,-,-,15,29
Feb-16,36,Daya,Hide Away,653.461,24,-,-,-,19,33
Feb-16,37,Wiz Khalifa & Charlie Puth,See You Again,639.008,37,94,-,62,29,-
Feb-16,38,David Guetta & Sia,Bang My Head,633.635,76,23,-,16,-,42
Feb-16,39,Thomas Rhett,Die A Happy Man,631.259,24,-,-,-,42,-
Feb-16,40,Jason Derulo,Get Ugly,617.117,52,12,-,182,-,-
Feb-16,41,Tory Lanez,Say It,615.403,23,-,-,-,-,-
Feb-16,42,Taylor Swift,Wildest Dreams,584.462,28,-,-,-,18,-
Feb-16,43,Sam Hunt,Break Up In A Small Town,578.366,30,-,-,-,43,-
Feb-16,44,Silento,Watch Me,571.79,28,-,-,-,32,-
Feb-16,45,Rachel Platten,Stand By You,543.226,37,-,-,-,49,31
Feb-16,46,"Major Lazer, Nyla & Fuse ODG",Light It Up,541.118,-,9,4,14,-,-
Feb-16,47,Alan Walker,Faded,531.214,-,40,1,8,-,-
Feb-16,48,Bryson Tiller,Exchange,501.712,39,-,-,-,-,-
Feb-16,49,Luke Bryan & Karen Fairchild,Home Alone Tonight,497.073,38,-,-,-,-,-
Feb-16,50,Yo Gotti,Down In The DM,489.164,31,-,-,-,-,-
Mar-16,1,Rihanna & Drake,Work,2461.797,1,2,5,1,1,5
Mar-16,2,Justin Bieber,Love Yourself,2272.193,1,5,5,5,1,8
Mar-16,3,Twenty One Pilots,Stressed Out,2186.103,2,14,3,2,3,2
Mar-16,4,Lukas Graham,Seven Years,1872.501,5,1,7,6,4,1
Mar-16,5,G-Eazy & Bebe Rexha,"Me, Myself & I",1694.181,7,13,7,9,10,19
Mar-16,6,Justin Bieber,Sorry,1633.381,3,9,-,23,2,18
Mar-16,7,Zayn,Pillow talk,1558.893,6,4,-,53,3,3
Mar-16,8,Shawn Mendes,Stitches,1447.528,10,7,9,95,18,20
Mar-16,9,Flo-Rida,My House,1430.883,4,64,-,31,7,6
Mar-16,10,Adele,Hello,1355.873,6,20,-,13,5,24
Mar-16,11,Mike Posner,I Took A Pill In Ibiza,1327.995,10,1,7,14,11,17
Mar-16,12,The Chainsmokers & Rozes,Roses,1226.032,9,33,-,26,6,5
Mar-16,13,DNCE,Cake By The Ocean,1194.42,9,21,-,34,7,-
Mar-16,14,Charlie Puth,One Call Away,1173.429,12,26,-,41,15,5
Mar-16,15,Selena Gomez,Hands To Myself,1153.56,11,20,-,137,10,15
Mar-16,16,Adele,When We Were Young,1110.568,14,9,-,62,16,33
Mar-16,17,Justin Bieber,What Do You Mean?,1029.112,23,17,-,59,10,29
Mar-16,18,Coldplay,Adventure Of A Lifetime,996.042,13,15,-,19,11,-
Mar-16,19,Alan Walker,Faded,976.709,-,18,1,1,-,2
Mar-16,20,Drake,Hotline Bling,947.653,16,48,-,54,14,-
Mar-16,21,The Weeknd,The Hills,917.394,21,31,-,47,25,50
Mar-16,22,Alessia Cara,Here,893.575,19,44,-,21,33,34
Mar-16,23,Sia,Cheap Thrills,865.331,81,8,4,13,34,8
Mar-16,24,Bryson Tiller,Don't,864.983,16,72,-,-,-,-
Mar-16,25,Selena Gomez,Same Old Love,802.61,17,-,-,41,16,-
Mar-16,26,Elle King,Ex's & Oh's,800.386,33,33,-,127,41,17
Mar-16,27,The Weeknd,In The Night,792.11,14,73,-,124,14,-
Mar-16,28,Drake & Future,Jumpman,785.694,22,69,-,-,-,-
Mar-16,29,The Weeknd,Can't Feel My Face,784.224,32,34,-,125,17,49
Mar-16,30,Yo Gotti & Nicki Minaj,Down In The DM,768.758,13,-,-,-,-,-
Mar-16,31,Drake,Summer Sixteen,746.023,26,69,-,-,26,-
Mar-16,32,Daya,Hide Away,745.414,23,-,-,-,18,7
Mar-16,33,Robin Schulz & Francesco Yates,Sugar,724.355,44,41,-,76,-,39
Mar-16,34,Fetty Wap & Remy Boyz,679,724.299,30,62,-,-,29,-
Mar-16,35,Fifth Harmony & Ty Dolla Sign,Work From Home,683.554,12,3,-,50,14,6
Mar-16,36,Zara Larsson & MNEK,Never Forget You,679.7,22,24,-,-,40,32
Mar-16,37,Major Lazer & DJ Snake,Lean On,670.133,46,47,-,15,22,41
Mar-16,38,James Bay,Let It Go,645.275,35,43,-,-,-,-
Mar-16,39,Meghan Trainor & John Legend,Like I'm Gonna Lose You,645.187,27,-,-,-,17,-
Mar-16,40,Tory Lanez,Say It,623.725,27,-,-,-,-,-
Mar-16,41,Shawn Mendes & Camila Cabello,I Know What You Did Last Summer,623.402,28,68,-,-,29,33
Mar-16,42,Kevin Gates,2 Phones,621.062,21,-,-,-,-,-
Mar-16,43,Chris Brown,Back To Sleep,619.219,20,100,-,138,-,-
Mar-16,44,Coldplay,Hymn For The Weekend,612.506,64,6,-,3,32,24
Mar-16,45,Jeremih,oui,585.58,27,-,-,-,-,-
Mar-16,46,Jason Derulo,Get Ugly,581.267,56,16,-,167,-,-
Mar-16,47,Bryson Tiller,Exchange,573.812,26,-,-,-,-,-
Mar-16,48,Thomas Rhett,Die A Happy Man,565.408,30,-,-,-,-,-
Mar-16,49,Jonas Blue,Fast Car,561.71,-,-,4,14,-,10
Mar-16,50,Rachel Platten,Stand By You,555.783,37,-,-,-,42,-
Apr-16,1,Lukas Graham,Seven Years,2113.456,2,2,8,5,1,1
Apr-16,2,Rihanna & Drake,Work,2081.429,1,6,10,11,1,13
Apr-16,3,Twenty One Pilots,Stressed Out,1875.365,3,12,3,3,3,4
Apr-16,4,Mike Posner,I Took A Pill In Ibiza,1837.663,6,1,5,6,2,5
Apr-16,5,Justin Bieber,Love Yourself,1823.362,2,13,7,9,2,18
Apr-16,6,Fifth Harmony & Ty Dolla Sign,Work From Home,1643.467,7,2,7,18,5,3
Apr-16,7,G-Eazy & Bebe Rexha,"Me, Myself & I",1537.826,7,15,9,12,9,25
Apr-16,8,Zayn,Pillow talk,1490.934,4,9,-,26,6,11
Apr-16,9,Sia,Cheap Thrills,1459.818,39,2,1,2,17,6
Apr-16,10,Meghan Trainor,No,1411.285,3,11,-,113,10,9
Apr-16,11,Flo-Rida,My House,1321.298,4,59,-,38,5,8
Apr-16,12,DNCE,Cake By The Ocean,1314.405,9,9,-,23,8,-
Apr-16,13,Justin Bieber,Sorry,1266.821,8,19,-,31,5,26
Apr-16,14,Ariana Grande,Dangerous Woman,1133.778,10,24,-,91,14,18
Apr-16,15,Charlie Puth,One Call Away,1108.004,14,29,-,36,17,5
Apr-16,16,The Chainsmokers & Rozes,Roses,1073.749,14,16,-,26,9,15
Apr-16,17,Selena Gomez,Hands To Myself,1070.408,13,14,-,118,13,19
Apr-16,18,Shawn Mendes,Stitches,1038.296,17,12,-,111,19,30
Apr-16,19,Alan Walker,Faded,1031.754,91,7,1,1,38,2
Apr-16,20,Adele,Hello,1021.54,12,38,-,33,12,37
Apr-16,21,Desiigner,Panda,984.136,2,27,-,31,10,47
Apr-16,22,Zara Larsson & MNEK,Never Forget You,965.686,15,30,-,-,22,50
Apr-16,23,The Chainsmokers & Daya,Don't Let Me Down,828.626,17,77,8,153,19,3
Apr-16,24,The Weeknd,The Hills,765.407,24,49,-,91,27,-
Apr-16,25,Drake & Future,Jumpman,760.441,23,58,-,90,-,-
Apr-16,26,Bryson Tiller,Don't,741.19,19,77,-,-,-,-
Apr-16,27,Adele,When We Were Young,736.189,28,23,-,84,18,47
Apr-16,28,Kevin Gates,2 Phones,732.393,17,-,-,-,-,-
Apr-16,29,Drake,Hotline Bling,710.037,27,79,-,64,23,-
Apr-16,30,DJ Snake & Bipolar Sunshine,Middle,698.933,20,-,-,-,24,-
Apr-16,31,James Bay,Let It Go,689.269,30,55,-,-,44,-
Apr-16,32,Justin Bieber,What Do You Mean?,679.669,34,26,-,71,15,41
Apr-16,33,"Drake, WizKid & Kyla",One Dance,674.212,13,1,2,1,2,15
Apr-16,34,Jeremih,oui,670.67,19,-,-,-,-,-
Apr-16,35,Yo Gotti & Nicki Minaj,Down In The DM,637.883,18,-,-,-,-,-
Apr-16,36,Future & The Weeknd,Low Life,626.744,21,-,-,188,28,-
Apr-16,37,Bryson Tiller,Exchange,609.652,26,-,-,-,-,-
Apr-16,38,Troye Sivan,Youth,607.758,23,100,-,-,47,46
Apr-16,39,Robin Schulz & Francesco Yates,Sugar,584.107,44,44,-,76,-,-
Apr-16,40,Cole Swindell,You Should Be Here,577.337,31,-,-,-,-,-
Apr-16,41,Drake,Summer Sixteen,577.178,29,93,-,-,41,-
Apr-16,42,Chris Brown,Back To Sleep,566.684,25,-,-,-,-,-
Apr-16,43,Alessia Cara,Wild Things,551.773,56,84,-,-,14,25
Apr-16,44,Disturbed,The Sound Of Silence,540.67,42,44,-,-,40,4
Apr-16,45,Thomas Rhett,Die A Happy Man,514.922,36,-,-,-,-,-
Apr-16,46,Jonas Blue,Fast Car,513.767,-,-,5,14,-,21
Apr-16,47,Brett Eldredge,Drunk On Your Love,512.422,35,-,-,-,-,-
Apr-16,48,Tim McGraw,Humble And Kind,507.123,30,-,-,-,37,-
Apr-16,49,Fetty Wap & Remy Boyz,679,501.178,39,70,-,-,37,-
Apr-16,50,Coldplay,Adventure Of A Lifetime,499.883,53,28,-,29,20,-
May-16,1,"Drake, WizKid & Kyla",One Dance,2442.995,1,1,1,4,1,1
May-16,2,Mike Posner,I Took A Pill In Ibiza,1985.254,4,3,5,8,2,6
May-16,3,Desiigner,Panda,1850.986,1,7,-,16,4,10
May-16,4,Lukas Graham,Seven Years,1794.852,2,10,-,10,1,4
May-16,5,Fifth Harmony & Ty Dolla Sign,Work From Home,1707.662,5,5,7,17,5,6
May-16,6,Rihanna & Drake,Work,1573.537,1,13,-,32,4,26
May-16,7,Sia,Cheap Thrills,1564.787,38,2,1,1,9,11
May-16,8,Twenty One Pilots,Stressed Out,1441.075,11,16,5,6,6,14
May-16,9,DNCE,Cake By The Ocean,1408.982,9,4,7,26,10,20
May-16,10,The Chainsmokers & Daya,Don't Let Me Down,1402.531,7,44,7,45,7,3
May-16,11,Justin Bieber,Love Yourself,1343.309,8,25,-,13,6,28
May-16,12,Meghan Trainor,No,1301.919,4,11,-,85,10,12
May-16,13,Zayn,Pillow talk,1275.305,5,24,-,107,8,21
May-16,14,G-Eazy & Bebe Rexha,"Me, Myself & I",1142.092,10,23,-,28,13,41
May-16,15,Ariana Grande,Dangerous Woman,1100.732,14,17,-,40,15,22
May-16,16,Rihanna & Calvin Harris,This Is What You Came For,1063.909,9,2,5,5,6,2
May-16,17,Alan Walker,Faded,1043.399,91,8,3,7,36,5
May-16,18,Justin Bieber,Sorry,1021.33,16,30,-,44,15,38
May-16,19,Flo-Rida,My House,963.874,12,-,-,99,9,17
May-16,20,Rihanna,Needed Me,919.472,10,48,-,154,27,48
May-16,21,Zara Larsson & MNEK,Never Forget You,914.613,14,53,-,-,19,-
May-16,22,The Chainsmokers & Rozes,Roses,858.894,28,21,-,69,18,24
May-16,23,Charlie Puth,One Call Away,856.88,23,64,-,38,23,18
May-16,24,Drake & The Throne,Pop Style,845.67,19,34,-,-,19,-
May-16,25,Nick Jonas & Tove Lo,Close,836.286,26,25,-,-,22,37
May-16,26,Shawn Mendes,Stitches,816.342,26,22,-,182,29,42
May-16,27,Justin Timberlake,Can't Stop The Feeling,799.651,1,2,1,1,2,3
May-16,28,Beyonce,Hold Up,753.832,13,11,-,14,37,25
May-16,29,Future & The Weeknd,Low Life,734.908,18,-,-,-,25,-
May-16,30,Kevin Gates,2 Phones,684.2,18,-,-,-,-,-
May-16,31,Disturbed,The Sound Of Silence,681.611,42,29,-,-,41,8
May-16,32,Jeremih,oui,680.627,20,-,-,-,-,-
May-16,33,James Bay,Let It Go,680.042,28,88,-,162,40,-
May-16,34,DJ Snake & Bipolar Sunshine,Middle,679.501,22,-,-,-,20,-
May-16,35,"Major Lazer, Nyla & Fuse ODG",Light It Up,670.533,75,19,-,52,32,-
May-16,36,Prince & The Revolution,Purple Rain,656.555,4,6,-,1,24,3
May-16,37,Alessia Cara,Wild Things,655.488,51,63,-,-,14,27
May-16,38,Pink,Just Like Fire,646.033,30,36,-,56,29,1
May-16,39,Beyonce,Formation,643.305,10,31,-,24,32,17
May-16,40,Beyonce,Sorry,601.515,11,33,-,62,40,-
May-16,41,Bryson Tiller,Exchange,580.509,31,-,-,-,-,-
May-16,42,Rihanna,Kiss It Better,549.325,62,46,-,92,-,48
May-16,43,Dierks Bentley,Somewhere On A Beach,538.341,35,-,-,-,-,-
May-16,44,Bryson Tiller,Don't,537.37,30,-,-,-,-,-
May-16,45,Ruth B,Lost Boy,533.22,33,-,-,-,32,-
May-16,46,Tim McGraw,Humble And Kind,521.342,36,-,-,-,45,-
May-16,47,"Kanye West, Rihanna & Swizz Beatz",Famous,514.315,49,46,-,-,37,-
May-16,48,Jason Derulo,If It Ain't Love,508.062,67,49,-,-,49,34
May-16,49,Flume & Kai,Never Be Like You,498.878,59,-,-,45,-,16
May-16,50,Chris Young & Cassadee Pope,Think Of You,498.334,40,-,-,-,-,-
Jun-16,1,"Drake, WizKid & Kyla",One Dance,2539.499,1,1,3,6,1,1
Jun-16,2,Justin Timberlake,Can't Stop The Feeling,2329.125,1,2,1,1,1,3
Jun-16,3,Rihanna & Calvin Harris,This Is What You Came For,1754.119,7,3,5,10,7,1
Jun-16,4,The Chainsmokers & Daya,Don't Let Me Down,1732.696,4,24,6,29,6,4
Jun-16,5,Desiigner,Panda,1732.65,2,8,-,17,5,8
Jun-16,6,Mike Posner,I Took A Pill In Ibiza,1614.482,5,7,9,11,3,12
Jun-16,7,Sia,Cheap Thrills,1578.475,13,4,4,2,4,19
Jun-16,8,Fifth Harmony & Ty Dolla Sign,Work From Home,1537.672,4,10,-,20,4,13
Jun-16,9,Lukas Graham,Seven Years,1474.606,4,17,-,16,4,17
Jun-16,10,DNCE,Cake By The Ocean,1355.117,14,9,6,32,11,6
Jun-16,11,Rihanna & Drake,Work,1175.704,8,22,-,46,13,42
Jun-16,12,Pink,Just Like Fire,1127.346,10,19,-,37,11,3
Jun-16,13,Twenty One Pilots,Stressed Out,1126.59,13,27,-,14,11,25
Jun-16,14,Justin Bieber,Love Yourself,1123.285,11,30,-,19,13,37
Jun-16,15,Ariana Grande,Dangerous Woman,1104.589,8,19,-,40,10,21
Jun-16,16,Rihanna,Needed Me,1079.577,8,45,-,-,28,48
Jun-16,17,Rihanna & Drake,Too Good,1011.809,30,5,-,49,10,5
Jun-16,18,Zayn,Pillow talk,998.344,9,45,-,185,10,46
Jun-16,19,Zara Larsson & MNEK,Never Forget You,954.208,13,58,-,-,15,-
Jun-16,20,Drake,Controlla,926.929,21,18,-,75,27,-
Jun-16,21,G-Eazy & Bebe Rexha,"Me, Myself & I",904.24,18,39,-,54,16,-
Jun-16,22,Kungs & Cookin' On 3 Burners,This Girl,893.096,-,2,1,5,-,18
Jun-16,23,Justin Bieber,Sorry,875.792,24,31,-,55,18,49
Jun-16,24,Nick Jonas & Tove Lo,Close,869.357,15,25,-,-,18,-
Jun-16,25,Alan Walker,Faded,861.109,80,16,6,13,32,14
Jun-16,26,Kent Jones,Don't Mind,817.217,11,39,-,68,45,-
Jun-16,27,Flo-Rida,My House,814.496,12,-,-,137,15,27
Jun-16,28,Meghan Trainor,No,800.938,19,41,-,155,10,19
Jun-16,29,James Bay,Let It Go,745.983,27,84,-,82,46,-
Jun-16,30,Twenty One Pilots,Ride,736.169,15,64,-,-,30,20
Jun-16,31,Drake & The Throne,Pop Style,734.591,23,47,-,-,25,-
Jun-16,32,Florida Georgia Line,H.O.L.Y.,728.333,17,-,-,-,30,-
Jun-16,33,Future & The Weeknd,Low Life,703.625,20,-,-,-,31,-
Jun-16,34,Adele,Send My Love (To Your New Lover),690.591,26,15,-,45,26,24
Jun-16,35,Ruth B,Lost Boy,647.91,25,-,-,-,16,-
Jun-16,36,Gnash & Olivia O'Brien,I Hate U I Love U,642.094,59,7,-,-,-,-
Jun-16,37,Meghan Trainor,Me Too,621.823,31,96,-,98,20,4
Jun-16,38,Ariana Grande,Into You,615.909,47,26,-,64,26,11
Jun-16,39,Alessia Cara,Wild Things,609.202,50,78,-,-,18,35
Jun-16,40,"Major Lazer, Nyla & Fuse ODG",Light It Up,603.637,73,24,-,86,35,-
Jun-16,41,Jeremih,oui,603.412,22,-,-,-,-,-
Jun-16,42,Flume & Kai,Never Be Like You,592.838,46,-,-,27,47,20
Jun-16,43,Kevin Gates,2 Phones,586.402,25,-,-,-,-,-
Jun-16,44,DJ Snake & Bipolar Sunshine,Middle,551.631,29,-,-,-,22,-
Jun-16,45,Disturbed,The Sound Of Silence,551.613,49,35,-,-,-,29
Jun-16,46,O.T. Genasis & Young Dolph,Cut It,539.397,36,-,-,-,-,-
Jun-16,47,Bryson Tiller,Exchange,538.377,32,-,-,-,-,-
Jun-16,48,Beyonce,Sorry,537.966,31,-,-,170,-,-
Jun-16,49,David Guetta & Zara Larsson,This One's For You,531.739,-,16,1,1,-,-
Jun-16,50,Blake Shelton,Came Here To Forget,506.812,36,-,-,-,-,-
Jul-16,1,"Drake, WizKid & Kyla",One Dance,2571.962,1,1,5,9,2,1
Jul-16,2,Justin Timberlake,Can't Stop The Feeling,2347.321,2,3,4,1,1,3
Jul-16,3,The Chainsmokers & Daya,Don't Let Me Down,2031.908,3,2,6,19,5,6
Jul-16,4,Sia,Cheap Thrills,1832.066,3,8,9,5,1,28
Jul-16,5,Rihanna & Calvin Harris,This Is What You Came For,1763.818,4,4,-,6,1,2
Jul-16,6,Desiigner,Panda,1564.842,2,13,-,21,8,7
Jul-16,7,Fifth Harmony & Ty Dolla Sign,Work From Home,1353.951,5,18,-,43,5,16
Jul-16,8,Mike Posner,I Took A Pill In Ibiza,1342.86,8,12,-,18,3,17
Jul-16,9,Kent Jones,Don't Mind,1298.24,8,9,-,41,17,24
Jul-16,10,Adele,Send My Love (To Your New Lover),1202.762,10,5,-,66,12,13
Jul-16,11,Twenty One Pilots,Ride,1199.203,6,49,-,42,14,18
Jul-16,12,Pink,Just Like Fire,1191.205,10,28,-,38,11,6
Jul-16,13,Rihanna,Needed Me,1188.862,7,38,-,-,29,48
Jul-16,14,Lukas Graham,Seven Years,1182.217,6,32,-,28,9,24
Jul-16,15,Rihanna & Drake,Too Good,1156.475,19,3,-,57,9,3
Jul-16,16,DNCE,Cake By The Ocean,1035.695,22,14,-,37,12,10
Jul-16,17,Drake,Controlla,1018.442,16,21,-,80,31,49
Jul-16,18,Twenty One Pilots,Stressed Out,1016.178,21,46,-,24,14,33
Jul-16,19,Rihanna & Drake,Work,1002.144,12,35,-,61,19,-
Jul-16,20,Kungs & Cookin' On 3 Burners,This Girl,986.975,-,2,1,5,43,17
Jul-16,21,Justin Bieber,Love Yourself,970.038,19,42,-,36,17,40
Jul-16,22,Meghan Trainor,Me Too,952.829,15,84,-,148,11,4
Jul-16,23,Ariana Grande,Dangerous Woman,909.706,14,51,-,171,13,-
Jul-16,24,Shawn Mendes,Treat You Better,883.391,20,6,9,-,8,4
Jul-16,25,Nick Jonas & Tove Lo,Close,873.177,14,48,-,-,12,-
Jul-16,26,James Bay,Let It Go,868.897,16,81,-,55,38,-
Jul-16,27,Ariana Grande,Into You,860.888,33,14,-,108,20,11
Jul-16,28,Florida Georgia Line,H.O.L.Y.,828.892,14,-,-,-,24,-
Jul-16,29,Justin Bieber,Sorry,808.824,33,40,-,78,21,-
Jul-16,30,DJ Khaled & Drake,For Free,802.613,17,61,-,116,47,-
Jul-16,31,Twenty One Pilots,Heathens,801.734,14,33,-,63,23,36
Jul-16,32,Zara Larsson & MNEK,Never Forget You,771.406,16,69,-,-,15,-
Jul-16,33,Selena Gomez,Kill Em With Kindness,761.966,39,35,-,147,14,33
Jul-16,34,Zayn,Pillow talk,741.677,20,65,-,-,22,-
Jul-16,35,David Guetta & Zara Larsson,This One's For You,734.033,-,19,3,1,-,-
Jul-16,36,Coldplay,Hymn For The Weekend,730.854,54,19,-,25,-,-
Jul-16,37,G-Eazy & Bebe Rexha,"Me, Myself & I",727.383,30,57,-,131,28,-
Jul-16,38,Charlie Puth & Selena Gomez,We Don't Talk Anymore,723.008,35,28,-,44,44,10
Jul-16,39,Ruth B,Lost Boy,712.889,24,-,-,-,14,-
Jul-16,40,Flume & Kai,Never Be Like You,709.712,26,-,-,59,42,32
Jul-16,41,Gnash & Olivia O'Brien,I Hate U I Love U,679.396,50,7,-,-,-,-
Jul-16,42,Flo-Rida,My House,666.851,23,-,-,-,23,-
Jul-16,43,Future & The Weeknd,Low Life,645.023,26,-,-,-,41,-
Jul-16,44,OneRepublic,Wherever I Go,642.597,55,37,-,78,39,32
Jul-16,45,Beyonce,Sorry,633.798,26,-,-,150,-,-
Jul-16,46,Imany,Don't Be So Shy (Filatov & Karas Remix),617.972,-,-,1,3,-,9
Jul-16,47,"Fat Joe, Remy Ma & Jay-Z",All The Way Up,602.203,29,-,-,-,47,-
Jul-16,48,"Major Lazer, Nyla & Fuse ODG",Light It Up,575.063,76,36,-,97,37,-
